2,8,8,3,0,0,0,1,0,3,3,0,0.125,0.16667,-6
2,8,9,2,0,0,1,0,0,3,3,0,0.125,0.083333,12
2,8,10,1,0,0,0,0,0,3,4,-1,0.0625,0.083333,24
2,9,2,8,0,1,0,0,0,3,0,3,0.125,0.083333,12
2,9,4,6,0,1,0,0,0,3,1,2,0.125,0.14434,12
2,9,6,4,0,1,0,0,0,3,2,1,0.125,0.14434,12
2,9,8,2,0,1,0,0,0,3,3,0,0.125,0.083333,12
2,10,1,12,0,0,0,0,0,4,-1,5,0.03125,0.018634,120
2,10,2,10,0,0,0,0,0,4,0,4,0.0625,0.041667,24
2,10,2,11,0,0,0,1,0,4,0,4,0.0625,0.018634,60
2,10,3,10,0,0,1,0,0,4,0,4,0.0625,0.041667,-36
2,10,4,8,0,0,0,0,0,4,1,3,0.0625,0.083333,24
2,10,4,9,0,0,0,1,0,4,1,3,0.0625,0.041667,36
2,10,5,8,0,0,1,0,0,4,1,3,0.0625,0.058926,-12
2,10,6,6,0,0,0,0,0,4,2,2,0.0625,0.10206,24
2,10,6,7,0,0,0,1,0,4,2,2,0.0625,0.058926,12
2,10,7,6,0,0,1,0,0,4,2,2,0.0625,0.058926,12
2,10,8,4,0,0,0,0,0,4,3,1,0.0625,0.083333,24
2,10,8,5,0,0,0,1,0,4,3,1,0.0625,0.058926,-12
2,10,9,4,0,0,1,0,0,4,3,1,0.0625,0.041667,36
2,10,10,2,0,0,0,0,0,4,4,0,0.0625,0.041667,24
2,10,10,3,0,0,0,1,0,4,4,0,0.0625,0.041667,-36
2,10,11,2,0,0,1,0,0,4,4,0,0.0625,0.018634,60
2,10,12,1,0,0,0,0,0,4,5,-1,0.03125,0.018634,120
2,11,2,10,0,1,0,0,0,4,0,4,0.0625,0.018634,60
2,11,4,8,0,1,0,0,0,4,1,3,0.0625,0.037268,60
2,11,6,6,0,1,0,0,0,4,2,2,0.0625,0.045644,60
2,11,8,4,0,1,0,0,0,4,3,1,0.0625,0.037268,60
2,11,10,2,0,1,0,0,0,4,4,0,0.0625,0.018634,60
2,12,1,14,0,0,0,0,0,5,-1,6,0.015625,0.0034021,720
2,12,2,12,0,0,0,0,0,5,0,5,0.03125,0.0083333,120
2,12,2,13,0,0,0,1,0,5,0,5,0.03125,0.0034021,360
2,12,3,12,0,0,1,0,0,5,0,5,0.03125,0.0083333,-240
2,12,4,10,0,0,0,0,0,5,1,4,0.03125,0.018634,120
2,12,4,11,0,0,0,1,0,5,1,4,0.03125,0.0083333,240
2,12,5,10,0,0,1,0,0,5,1,4,0.03125,0.013176,-120
2,12,6,8,0,0,0,0,0,5,2,3,0.03125,0.026352,120
2,12,6,9,0,0,0,1,0,5,2,3,0.03125,0.013176,120
2,12,7,8,0,0,1,0,0,5,2,3,0.03125,0.015215,-1.4211e-14
2,12,8,6,0,0,0,0,0,5,3,2,0.03125,0.026352,120
2,12,8,7,0,0,0,1,0,5,3,2,0.03125,0.015215,-1.4211e-14
2,12,9,6,0,0,1,0,0,5,3,2,0.03125,0.013176,120
2,12,10,4,0,0,0,0,0,5,4,1,0.03125,0.018634,120
2,12,10,5,0,0,0,1,0,5,4,1,0.03125,0.013176,-120
2,12,11,4,0,0,1,0,0,5,4,1,0.03125,0.0083333,240
