1,4,0,0,-1,1
1,5,0,1,-1,1
2,6,0,0,0,2
2,7,0,1,0,2
3,6,1,0,0,2
3,7,1,1,0,2
4,1,0,0,1,-1
4,8,0,0,1,3
4,9,0,1,1,3
5,1,1,0,1,-1
5,8,1,0,1,3
5,9,1,1,1,3
6,2,0,0,2,0
6,3,0,1,2,0
6,10,0,0,2,4
6,11,0,1,2,4
7,2,1,0,2,0
7,3,1,1,2,0
7,10,1,0,2,4
7,11,1,1,2,4
8,4,0,0,3,1
8,5,0,1,3,1
8,12,0,0,3,5
8,13,0,1,3,5
9,4,1,0,3,1
9,5,1,1,3,1
9,12,1,0,3,5
9,13,1,1,3,5
10,6,0,0,4,2
10,7,0,1,4,2
10,14,0,0,4,6
10,15,0,1,4,6
11,6,1,0,4,2
11,7,1,1,4,2
11,14,1,0,4,6
11,15,1,1,4,6
12,8,0,0,5,3
12,9,0,1,5,3
12,16,0,0,5,7
12,17,0,1,5,7
13,8,1,0,5,3
13,9,1,1,5,3
13,16,1,0,5,7
13,17,1,1,5,7
14,10,0,0,6,4
14,11,0,1,6,4
14,18,0,0,6,8
14,19,0,1,6,8
15,10,1,0,6,4
15,11,1,1,6,4
15,18,1,0,6,8
15,19,1,1,6,8
16,12,0,0,7,5
16,13,0,1,7,5
17,12,1,0,7,5
17,13,1,1,7,5
18,14,0,0,8,6
18,15,0,1,8,6
19,14,1,0,8,6
19,15,1,1,8,6
