2,6,5,4,0,2,1,1,0,0,1,0,0.25,0.25,1,0.0625,0.125
2,6,6,2,0,2,2,0,0,0,0,0,0.25,0.25,2,0.125,0.125
2,6,6,3,0,2,2,0,0,0,0,1,0.25,0.25,-1,-0.0625,0.125
2,6,7,2,0,2,2,0,0,0,1,0,0.25,0.083333,3,0.0625,0.041667
2,6,8,1,0,2,3,-1,0,0,0,0,0.125,0.083333,6,0.0625,0.0625
2,7,2,6,0,2,0,2,0,1,0,0,0.25,0.083333,3,0.0625,0.041667
2,7,4,4,0,2,1,1,0,1,0,0,0.25,0.16667,3,0.125,0.083333
2,7,6,2,0,2,2,0,0,1,0,0,0.25,0.083333,3,0.0625,0.041667
2,8,1,10,0,3,-1,4,0,0,0,0,0.0625,0.0069444,24,0.010417,0.010417
2,8,2,8,0,3,0,3,0,0,0,0,0.125,0.027778,6,0.020833,0.020833
2,8,2,9,0,3,0,3,0,0,0,1,0.125,0.0069444,12,0.010417,0.0052083
2,8,3,8,0,3,0,3,0,0,1,0,0.125,0.027778,-6,-0.020833,0.020833
2,8,4,6,0,3,1,2,0,0,0,0,0.125,0.083333,6,0.0625,0.0625
2,8,4,7,0,3,1,2,0,0,0,1,0.125,0.027778,6,0.020833,0.020833
2,8,5,6,0,3,1,2,0,0,1,0,0.125,0.041667,0,0,0.03125
2,8,6,4,0,3,2,1,0,0,0,0,0.125,0.083333,6,0.0625,0.0625
2,8,6,5,0,3,2,1,0,0,0,1,0.125,0.041667,0,0,0.03125
2,8,7,4,0,3,2,1,0,0,1,0,0.125,0.027778,6,0.020833,0.020833
2,8,8,2,0,3,3,0,0,0,0,0,0.125,0.027778,6,0.020833,0.020833
2,8,8,3,0,3,3,0,0,0,0,1,0.125,0.027778,-6,-0.020833,0.020833
2,8,9,2,0,3,3,0,0,0,1,0,0.125,0.0069444,12,0.010417,0.0052083
2,8,10,1,0,3,4,-1,0,0,0,0,0.0625,0.0069444,24,0.010417,0.010417
2,9,2,8,0,3,0,3,0,1,0,0,0.125,0.0069444,12,0.010417,0.0052083
2,9,4,6,0,3,1,2,0,1,0,0,0.125,0.020833,12,0.03125,0.015625
2,9,6,4,0,3,2,1,0,1,0,0,0.125,0.020833,12,0.03125,0.015625
2,9,8,2,0,3,3,0,0,1,0,0,0.125,0.0069444,12,0.010417,0.0052083
2,10,1,12,0,4,-1,5,0,0,0,0,0.03125,0.00034722,120,0.0013021,0.0013021
2,10,2,10,0,4,0,4,0,0,0,0,0.0625,0.0017361,24,0.0026042,0.0026042
2,10,2,11,0,4,0,4,0,0,0,1,0.0625,0.00034722,60,0.0013021,0.00052083
2,10,3,10,0,4,0,4,0,0,1,0,0.0625,0.0017361,-36,-0.0039062,0.0026042
2,10,4,8,0,4,1,3,0,0,0,0,0.0625,0.0069444,24,0.010417,0.010417
2,10,4,9,0,4,1,3,0,0,0,1,0.0625,0.0017361,36,0.0039063,0.0026042
2,10,5,8,0,4,1,3,0,0,1,0,0.0625,0.0034722,-12,-0.0026042,0.0052083
2,10,6,6,0,4,2,2,0,0,0,0,0.0625,0.010417,24,0.015625,0.015625
2,10,6,7,0,4,2,2,0,0,0,1,0.0625,0.0034722,12,0.0026042,0.0052083
2,10,7,6,0,4,2,2,0,0,1,0,0.0625,0.0034722,12,0.0026042,0.0052083
2,10,8,4,0,4,3,1,0,0,0,0,0.0625,0.0069444,24,0.010417,0.010417
2,10,8,5,0,4,3,1,0,0,0,1,0.0625,0.0034722,-12,-0.0026042,0.0052083
2,10,9,4,0,4,3,1,0,0,1,0,0.0625,0.0017361,36,0.0039063,0.0026042
2,10,10,2,0,4,4,0,0,0,0,0,0.0625,0.0017361,24,0.0026042,0.0026042
2,10,10,3,0,4,4,0,0,0,0,1,0.0625,0.0017361,-36,-0.0039062,0.0026042
2,10,11,2,0,4,4,0,0,0,1,0,0.0625,0.00034722,60,0.0013021,0.00052083
2,10,12,1,0,4,5,-1,0,0,0,0,0.03125,0.00034722,120,0.0013021,0.0013021
2,11,2,10,0,4,0,4,0,1,0,0,0.0625,0.00034722,60,0.0013021,0.00052083
2,11,4,8,0,4,1,3,0,1,0,0,0.0625,0.0013889,60,0.0052083,0.0020833
2,11,6,6,0,4,2,2,0,1,0,0,0.0625,0.0020833,60,0.0078125,0.003125
2,11,8,4,0,4,3,1,0,1,0,0,0.0625,0.0013889,60,0.0052083,0.0020833
2,11,10,2,0,4,4,0,0,1,0,0,0.0625,0.00034722,60,0.0013021,0.00052083
2,12,1,14,0,5,-1,6,0,0,0,0,0.015625,1.1574e-05,720,0.00013021,0.00013021
2,12,2,12,0,5,0,5,0,0,0,0,0.03125,6.9444e-05,120,0.00026042,0.00026042
